"Locale.","Charter","Magnet.","Title.I.School.","Students.","Teachers.","Free.Lunch.","Reduced.Lunch.","grade","numOfStud2012","passing2012","meanScale2012","lev1Perc2012","lev5Perc2012","numOfStud2013","passing2013","meanScale2013","lev1Perc2013","lev5Perc2013","numOfStud2014","passing2014","meanScale2014","lev1Perc2014","lev5Perc2014","Workbooks.Ordered","Workbooks","Total.Wall.Posts","Unique.wall.posts","unique.log.ins","total.log.ins","teacher.unique.log.ins","teacher.total.log.ins","student.unique.log.ins","student.total.log.ins","total.views","unique.viewers","teacher.total.views","teacher.unique.viewers","student.total.views","student.unique.viewers","Total.Test.Yourself","Unique.Users.who.took.test.yourself","training","integrated","integrated.or.training","test.yourselfs.during.challene","users.with.test.yourself.during.challenge","is.AN","loginsPerExaminee","perc.free.lunch","perc.reduced.lunch","SeniorHigh","middleHigh","logLoginsPerExaminee"
"Suburb: Large","Yes","No","No",255,19,118,35,9,47,74,407,11,9,35,69,411,9,14,32,53,396,25,3,0,"no",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0625,0.462745098039216,0.137254901960784,0,0,-2.77258872223978
"City: Midsize","No","No","Yes",1649,82,1016,201,9,348,42,389,25,1,299,40,386,27,2,197,53,396,15,3,1100,"yes",0,0,27,220,3,19,24,201,451,20,21,1,430,19,139,10,0,1,1,27,3,1,1.12182741116751,0.616130988477865,0.121892055791389,0,0,0.114958972779764
"Suburb: Large","No","No","Yes",1994,103,563,148,9,276,83,412,4,7,380,77,411,6,10,186,60,402,3,2,580,"yes",0,0,1,78,0,0,1,78,148,1,0,0,148,1,19,1,0,0,0,1,1,1,0.424731182795699,0.28234704112337,0.074222668004012,1,0,-0.85629882124618
"Suburb: Large","No","No","Yes",3032,139,1057,303,9,432,69,405,7,5,412,82,414,4,11,393,72,407,7,6,280,"yes",171,2,29,278,0,0,29,278,547,15,0,0,547,15,14,6,0,1,1,4,2,1,0.709923664122137,0.348614775725594,0.099934036939314,0,0,-0.342597830047896
"Suburb: Midsize","No","No","Yes",1362,69,440,112,9,226,77,412,4,12,336,54,399,13,4,288,51,398,15,3,220,"yes",20,11,185,677,2,12,183,665,950,120,29,2,921,118,861,105,1,1,1,132,42,1,2.35416666666667,0.323054331864905,0.0822320117474303,0,0,0.85618680780445
"Suburb: Small","No","No","No",106,13,78,4,9,15,20,362,53,0,11,18,367,55,0,17,18,367,53,0,0,"no",0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0.117647058823529,0.735849056603774,0.0377358490566038,0,0,-2.14006616349627
"City: Midsize","No","Yes","No",1295,69,557,76,9,244,42,393,18,2,239,29,382,31,0,216,33,385,30,2,100,"yes",0,0,1,12,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601851851851852,0.43011583011583,0.0586872586872587,0,0,-2.81032905022263
"Suburb: Large","No","No","No",1754,99,438,89,9,262,65,402,10,1,320,70,409,9,13,298,71,411,6,16,100,"yes",0,0,31,116,1,5,30,111,295,12,5,1,290,11,23,4,1,1,1,14,2,1,0.39261744966443,0.249714937286203,0.0507411630558723,0,0,-0.934919551707648
"Rural: Distant","No","No","No",443,30,122,11,9,47,34,392,15,0,56,54,392,14,0,35,66,401,6,0,280,"yes",1,1,21,103,0,0,21,103,79,6,0,0,79,6,0,0,1,0,1,0,0,0,2.97142857142857,0.275395033860045,0.0248306997742664,0,0,1.08904283765196
"City: Large","No","Yes","Yes",1093,59,658,46,9,142,31,383,26,0,164,17,376,41,0,200,31,386,25,1,160,"yes",0,0,142,444,5,28,137,416,985,112,61,4,924,108,76,9,0,1,1,15,6,1,2.225,0.602012808783166,0.0420860018298262,0,0,0.799756915618204
"Rural: Distant","No","No","Yes",436,41,303,33,9,43,19,379,30,0,38,16,385,18,0,63,30,386,27,0,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158730158730159,0.694954128440367,0.0756880733944954,0,1,-4.14313472639153
"City: Large","No","Yes","Yes",1623,99,965,203,9,149,21,379,36,1,171,18,378,37,0,163,26,385,28,0,960,"yes",0,0,46,207,5,13,41,194,589,22,74,3,515,19,36,15,0,1,1,12,1,1,1.2760736196319,0.594577942082563,0.125077017868145,0,0,0.243787878894556
"Suburb: Large","No","No","No",1704,82,330,71,9,189,75,409,3,2,255,78,411,4,7,276,76,410,5,5,580,"yes",0,0,46,138,2,7,44,131,176,22,12,1,164,21,29,7,0,1,1,14,4,1,0.503623188405797,0.193661971830986,0.0416666666666667,0,0,-0.685926932586458
"Suburb: Large","No","Yes","Yes",4132,188,2023,488,9,606,47,393,18,1,663,55,398,14,3,528,58,400,13,4,400,"yes",0,0,169,1323,11,36,158,1287,2736,113,71,5,2665,108,1706,73,1,1,1,441,51,1,2.50757575757576,0.489593417231365,0.11810261374637,1,0,0.919316452790692
"Suburb: Large","No","Yes","Yes",2782,141,1806,193,9,489,40,387,26,1,643,44,390,24,1,623,51,394,19,2,885,"yes",1,1,49,143,3,7,46,136,138,27,1,1,137,26,42,13,0,0,0,23,9,1,0.231139646869984,0.649173256649892,0.0693745506829619,0,0,-1.46473321921145
"City: Midsize","No","Yes","Yes",834,57,653,38,9,192,37,389,22,2,176,41,391,24,2,196,18,374,46,0,400,"yes",12,8,219,1304,2,4,217,1300,3756,199,3,1,3753,198,142,55,1,1,1,32,19,1,6.65816326530612,0.782973621103118,0.0455635491606715,0,0,1.89584366052628
"City: Small","No","No","Yes",263,22,169,23,9,44,11,368,55,0,57,2,362,60,0,28,7,367,57,0,180,"yes",0,0,1,2,0,0,1,2,6,1,0,0,6,1,0,0,0,1,1,0,0,0,0.107142857142857,0.642585551330799,0.0874524714828897,0,0,-2.23359222150709
"City: Small","No","Yes","No",2841,153,458,90,9,248,51,393,17,2,471,73,412,8,18,391,65,405,13,8,220,"yes",246,24,196,1020,5,52,191,968,1663,155,139,4,1524,151,1123,136,0,0,0,667,89,1,2.61125319693095,0.16121084125308,0.0316789862724393,0,0,0.9598302581793
"Suburb: Large","No","No","Yes",1947,103,1014,143,9,426,36,388,25,2,436,38,390,24,2,431,40,389,24,0,240,"yes",5,3,335,849,1,8,334,841,1552,207,0,0,1552,207,307,136,1,1,1,31,11,1,1.97215777262181,0.520801232665639,0.0734463276836158,1,0,0.679128259380614
"Town: Remote","No","No","Yes",1218,66,340,65,9,158,49,394,18,4,119,37,387,29,5,112,34,388,28,1,0,"no",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0178571428571429,0.279146141215107,0.0533661740558292,0,0,-4.02535169073515
"Suburb: Large","Yes","No","Yes",808,45,415,52,9,211,49,397,10,1,231,43,392,20,2,256,34,388,26,1,0,"no",0,0,10,53,1,34,9,19,174,8,145,1,29,7,7,3,1,1,1,0,0,0,0.2109375,0.513613861386139,0.0643564356435644,0,0,-1.55619339791529
"Town: Distant","No","No","Yes",1239,79,366,83,9,174,57,398,14,0,153,54,397,14,1,165,62,404,12,6,1100,"yes",1065,47,169,1192,8,91,161,1101,2070,138,327,7,1743,131,244,50,1,1,1,77,19,1,7.23030303030303,0.295399515738499,0.0669895076674738,1,0,1.97828094819734
"Suburb: Large","No","Yes","Yes",1811,102,847,120,9,157,13,369,49,1,189,13,375,41,3,238,13,375,39,0,440,"yes",0,0,61,133,1,2,60,131,352,38,0,0,352,38,8,5,0,1,1,4,2,1,0.563025210084034,0.467697404748758,0.0662617338487024,0,0,-0.574430873720563
"Town: Distant","No","No","Yes",1027,49,676,62,9,135,50,394,14,1,157,25,382,31,1,139,20,378,32,0,120,"yes",7,3,61,157,2,41,59,116,172,17,76,2,96,15,119,44,0,1,1,119,44,1,1.13669064748201,0.658227848101266,0.0603700097370983,0,0,0.128121099896275
"Rural: Remote","No","No","No",585,32,277,42,9,68,44,394,10,0,54,70,401,13,0,49,78,415,6,12,240,"yes",40,6,94,564,2,55,92,509,298,43,108,2,190,41,331,47,0,1,1,286,37,1,11.530612244898,0.473504273504273,0.0717948717948718,0,0,2.44500543303581
"Suburb: Large","No","No","Yes",2745,150,704,234,9,363,46,393,18,2,306,59,400,14,4,253,55,397,17,3,460,"yes",2,1,63,168,0,0,63,168,890,48,0,0,890,49,1,1,0,1,1,1,1,1,0.66798418972332,0.256466302367942,0.0852459016393443,0,0,-0.403490773804447
"Suburb: Large","No","No","Yes",1803,100,769,154,9,411,40,389,25,2,337,56,399,18,5,405,45,393,23,3,2160,"yes",6,2,125,372,2,25,123,347,1019,79,107,2,912,77,22,8,1,1,1,3,1,1,0.920987654320988,0.426511369938991,0.0854132002218525,1,0,-0.0823086474627236
"Suburb: Large","No","No","No",2212,118,662,237,9,342,51,396,13,1,334,52,393,22,1,299,61,399,11,2,200,"yes",0,0,33,80,0,0,33,80,270,24,0,0,270,24,2,1,0,1,1,2,1,1,0.270903010033445,0.299276672694394,0.107142857142857,0,0,-1.30599441871825
"Suburb: Large","No","No","Yes",2601,148,792,177,9,287,40,388,25,1,318,48,396,18,4,289,50,395,16,1,720,"yes",0,0,52,104,0,0,52,104,292,42,0,0,292,42,1,1,0,1,1,0,0,1,0.363321799307958,0.304498269896194,0.0680507497116494,0,0,-1.01246633795491
"Suburb: Large","No","No","No",1801,90,652,191,9,304,56,399,13,3,290,46,394,13,1,274,60,400,12,3,40,"yes",117,14,347,1020,9,64,338,956,399,117,117,7,282,110,508,167,1,0,1,331,103,1,3.72627737226277,0.362021099389228,0.106052193225986,0,0,1.3154097117766
"Rural: Fringe","No","No","No",1872,86,648,170,9,277,52,396,11,1,219,62,401,13,4,245,54,400,12,4,20,"yes",0,0,52,113,0,0,52,113,137,27,0,0,137,27,50,29,1,1,1,42,23,1,0.46530612244898,0.346153846153846,0.0908119658119658,0,0,-0.765059762150232
"Town: Fringe","No","No","Yes",734,43,410,71,9,72,74,407,3,1,181,29,385,24,0,158,41,390,22,1,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.00632911392405063,0.55858310626703,0.0967302452316076,0,0,-5.06259503302697
"Suburb: Midsize","No","No","Yes",1858,110,1000,149,9,430,41,388,23,0,446,37,385,28,0,367,35,387,24,1,165,"yes",77,9,120,463,7,83,113,380,1143,115,270,7,873,108,175,41,1,1,1,30,6,1,1.26430517711172,0.538213132400431,0.0801937567276642,0,0,0.234522704171685
"Suburb: Midsize","Yes","No","Yes",1304,64,706,134,9,286,47,392,17,1,347,50,395,21,4,275,51,398,17,4,520,"yes",114,4,275,1190,7,165,268,1025,1215,77,368,7,847,70,656,199,1,1,1,189,87,1,4.33090909090909,0.541411042944785,0.102760736196319,1,0,1.46577747168873
"Rural: Fringe","No","Yes","Yes",1671,82,1077,145,9,242,74,409,3,4,370,60,403,11,8,369,56,401,14,7,883,"yes",6,2,83,320,2,40,81,280,1480,63,529,2,951,61,30,10,1,1,1,16,8,1,0.869918699186992,0.644524236983842,0.0867743865948534,0,0,-0.139355520910511
"Suburb: Large","No","Yes","Yes",2099,136,1386,92,9,384,30,385,27,1,497,41,388,27,3,443,45,392,20,1,120,"yes",2,1,78,274,1,1,77,273,453,38,0,0,453,38,40,12,0,0,0,26,10,1,0.620767494356659,0.66031443544545,0.0438303954263935,0,0,-0.476798672378564
"City: Small","No","No","Yes",2003,125,764,176,9,379,56,400,13,3,327,57,400,13,4,333,34,388,23,1,0,"no",257,20,109,721,3,68,106,653,776,81,143,3,633,79,228,70,1,1,1,4,3,0,2.16816816816817,0.381427858212681,0.0878681977034448,1,0,0.773882648912382
"City: Midsize","No","Yes","Yes",1316,89,606,68,9,137,9,366,53,0,156,8,369,55,1,146,14,373,46,0,0,"no",6,3,225,1363,6,31,219,1332,2559,209,51,4,2508,205,108,55,1,1,1,22,7,0,9.34246575342466,0.46048632218845,0.0516717325227964,0,0,2.23457021669507
"Rural: Fringe","No","No","No",1953,90,325,106,9,381,71,409,8,12,377,68,409,8,14,389,64,407,10,12,0,"no",0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077120822622108,0.166410650281618,0.0542754736303123,0,0,-4.86496705495034
"Rural: Fringe","No","Yes","No",1638,89,418,88,9,217,68,406,11,12,227,67,406,12,12,232,78,411,8,10,200,"yes",0,0,22,209,3,11,19,198,216,13,1,1,215,12,19,2,1,1,1,2,1,1,0.905172413793103,0.255189255189255,0.0537240537240537,0,0,-0.0996298409488413
"City: Small","No","Yes","No",1664,97,720,123,9,299,44,393,20,5,275,37,386,31,4,289,38,385,31,2,160,"yes",59,18,132,1596,5,100,127,1496,4077,106,23,5,4054,102,848,70,1,1,1,74,18,1,5.52595155709343,0.432692307692308,0.0739182692307692,0,0,1.70945546010258
"Rural: Distant","No","No","Yes",448,30,249,26,9,25,28,386,28,0,26,35,389,19,0,20,75,408,10,5,200,"yes",0,0,26,109,2,59,24,50,185,11,143,2,42,9,76,20,1,1,1,19,11,1,5.5,0.555803571428571,0.0580357142857143,0,0,1.70474809223843
"Rural: Fringe","No","No","No",1919,95,86,23,9,283,75,410,8,9,209,65,404,11,5,179,77,410,4,7,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0.0448150078165711,0.0119854090672225,0,0,-5.18738580584075
"Suburb: Large","Yes","No","Yes",147,8,104,8,9,29,17,383,34,0,19,47,397,5,0,22,23,371,59,0,0,"no",0,0,3,4,0,0,3,4,16,3,0,0,16,3,0,0,0,0,0,0,0,0,0.227272727272727,0.707482993197279,0.054421768707483,0,0,-1.48160454092422
"Suburb: Large","No","No","Yes",387,36,330,15,9,31,10,373,52,0,50,2,361,68,0,49,14,369,51,0,0,"no",0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0612244897959184,0.852713178294574,0.0387596899224806,0,0,-2.79320800944252
"Suburb: Large","Yes","No","No",87,5,68,3,9,11,9,366,55,0,24,4,368,58,0,22,32,385,36,0,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0454545454545455,0.781609195402299,0.0344827586206897,0,0,-3.09104245335832
"Rural: Fringe","No","Yes","No",1741,108,743,156,9,255,74,409,4,4,118,81,411,5,5,189,75,406,11,3,760,"yes",34,5,120,1016,5,29,115,987,2584,94,39,5,2545,89,68,13,1,1,1,63,11,1,5.38095238095238,0.42676622630672,0.0896036760482481,0,0,1.68286538098892
"Suburb: Midsize","No","No","Yes",1662,85,859,140,9,212,26,386,23,0,239,26,383,29,0,268,29,386,26,0,600,"yes",16,2,233,597,5,11,228,586,1527,175,30,3,1497,172,345,138,1,0,1,72,30,1,2.23134328358209,0.516847172081829,0.0842358604091456,0,0,0.802603773439775
"Suburb: Large","No","Yes","Yes",1834,98,1251,178,9,343,39,390,20,1,378,55,397,13,1,256,64,403,12,4,200,"yes",36,9,463,3775,3,58,460,3717,11026,405,22,3,11004,402,1713,206,0,1,1,1073,104,1,14.75,0.682115594329335,0.0970556161395856,1,0,2.69124308278583
"Suburb: Large","No","No","Yes",1508,80,814,109,9,290,46,393,22,2,278,59,400,13,4,284,72,407,7,5,400,"yes",0,0,174,927,3,57,171,870,619,72,86,2,533,70,507,84,0,1,1,260,60,1,3.26760563380282,0.539787798408488,0.0722811671087533,0,0,1.18405749462499
"Suburb: Large","No","No","Yes",1251,58,449,107,9,233,62,402,12,2,229,55,399,15,3,237,58,399,15,3,440,"yes",7,2,26,110,3,35,23,75,552,17,394,3,158,14,13,9,0,1,1,6,4,1,0.468354430379747,0.358912869704237,0.0855315747402078,0,0,-0.758529939822797
"Suburb: Large","No","No","Yes",1772,102,1101,187,9,199,22,379,35,0,261,31,384,31,1,294,45,391,24,1,1123,"yes",3,2,94,324,11,83,83,241,470,63,148,9,322,54,66,31,0,1,1,27,8,1,1.10544217687075,0.621331828442438,0.105530474040632,0,0,0.100245414991056
"City: Midsize","No","No","Yes",1930,100,301,54,9,216,81,412,4,6,363,67,406,14,12,248,81,415,3,14,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403225806451613,0.155958549222798,0.027979274611399,0,0,-5.51342874616498
"Suburb: Large","No","Yes","Yes",1704,100,1187,181,9,169,19,374,45,0,245,19,375,44,1,264,27,382,30,1,560,"yes",0,0,29,137,3,12,26,125,331,19,56,2,275,17,11,6,0,1,1,0,0,1,0.522727272727273,0.696596244131455,0.106220657276995,0,0,-0.648695417989111
"Rural: Distant","No","No","Yes",329,23,129,34,9,35,57,400,3,0,59,63,397,22,0,53,66,405,2,0,200,"yes",0,0,3,44,2,43,1,1,259,3,258,2,1,1,4,1,0,1,1,0,0,0,0.849056603773585,0.39209726443769,0.103343465045593,0,0,-0.163629423781802
"Rural: Fringe","No","No","Yes",1964,122,1351,212,9,376,27,381,35,1,385,29,383,32,1,390,33,386,27,1,760,"yes",9,4,134,647,5,149,129,498,1796,67,614,5,1182,62,2,2,1,1,1,0,0,1,1.66153846153846,0.687881873727088,0.107942973523422,0,0,0.507743957228583
"City: Midsize","No","No","No",1941,94,247,77,9,294,77,410,5,5,306,42,391,20,1,313,59,399,11,1,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319488817891374,0.127253992787223,0.0396702730551262,0,0,-5.74620319054015
"Suburb: Large","No","Yes","Yes",1825,88,555,140,9,17,47,392,24,0,84,52,397,11,0,113,63,402,7,0,420,"yes",315,37,189,441,3,44,186,397,1084,109,70,3,1014,106,439,100,1,1,1,59,23,1,3.91150442477876,0.304109589041096,0.0767123287671233,0,0,1.36392206336536
"Suburb: Large","No","Yes","Yes",2284,133,793,214,9,339,49,394,18,6,336,38,388,24,2,347,47,392,22,3,940,"yes",0,0,79,258,4,22,75,236,713,64,73,4,640,60,7,4,0,1,1,3,1,1,0.746397694524496,0.347197898423818,0.0936952714535902,0,0,-0.292496718247321
"Rural: Fringe","No","No","Yes",672,39,360,62,9,115,45,393,11,0,132,39,388,23,0,25,36,389,20,0,80,"yes",5,3,152,486,3,47,149,439,808,95,131,3,677,92,472,79,1,1,1,60,17,1,19.48,0.535714285714286,0.0922619047619048,0,0,2.96938829821439
"City: Small","No","No","Yes",1829,102,997,144,9,359,36,386,24,0,270,52,398,12,2,210,58,401,8,2,640,"yes",55,6,285,1178,3,51,282,1127,1871,150,109,2,1762,148,418,183,1,1,1,149,89,1,5.61428571428571,0.54510661563696,0.0787315472936031,0,0,1.7253143698199
"Rural: Distant","No","No","Yes",484,35,261,46,9,22,59,401,0,0,32,66,407,3,3,26,85,413,0,0,60,"yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0384615384615385,0.539256198347107,0.0950413223140496,0,0,-3.25809653802148
"City: Small","No","No","No",2418,109,966,186,9,472,53,400,14,5,493,53,398,16,5,430,52,399,13,2,500,"yes",0,0,8,23,0,0,8,23,36,4,0,0,36,4,1,1,0,0,0,1,1,0,0.0558139534883721,0.399503722084367,0.0769230769230769,0,0,-2.88573137833966
"Suburb: Large","Yes","No","Yes",1612,88,637,105,9,162,64,404,4,2,183,79,411,4,7,173,75,409,5,8,104,"yes",0,0,3,5,0,0,3,5,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0.0346820809248555,0.395161290322581,0.065136476426799,0,0,-3.36153212526972
"City: Large","No","Yes","No",2683,134,464,98,9,304,33,387,27,2,175,32,386,25,0,195,52,398,10,1,202,"yes",0,0,165,659,6,47,159,612,934,114,80,4,854,110,353,75,0,1,1,190,66,1,3.38461538461538,0.172940737979873,0.0365262765560939,0,0,1.21924027645672
"City: Small","Yes","No","No",106,9,5,0,9,26,46,396,15,0,32,38,392,19,3,35,66,401,14,3,0,"no",0,0,2,2,0,0,2,2,2,1,0,0,2,1,0,0,0,1,1,0,0,0,0.0857142857142857,0.0471698113207547,0,0,0,-2.4567357728213
"Town: Distant","No","No","Yes",776,46,322,48,9,158,63,404,9,5,134,65,403,10,3,138,71,406,8,8,425,"yes",0,0,27,204,3,93,24,111,589,17,368,3,221,14,16,8,0,1,1,1,1,1,1.48550724637681,0.414948453608247,0.0618556701030928,0,0,0.395756293981203
"City: Midsize","No","No","No",1474,74,715,175,9,298,47,394,20,1,289,54,395,19,3,258,34,389,21,3,0,"no",0,0,39,406,0,0,39,406,836,33,0,0,836,33,279,27,0,1,1,47,11,0,1.57751937984496,0.485074626865672,0.118724559023066,0,0,0.455853600520978
"Suburb: Large","No","No","No",2039,103,524,65,9,279,63,402,8,2,291,56,400,13,3,368,61,400,14,1,560,"yes",3,2,53,225,4,23,49,202,653,35,78,4,575,31,71,20,0,1,1,7,4,1,0.614130434782609,0.256988719960765,0.0318783717508583,0,0,-0.487547938896645
"Rural: Fringe","No","No","Yes",1625,77,702,158,9,252,83,411,6,6,264,80,412,3,6,281,71,404,9,4,460,"yes",113,18,380,2476,4,86,376,2390,2339,283,54,3,2285,280,1248,298,0,1,1,1070,283,1,8.81494661921708,0.432,0.0972307692307692,0,0,2.17644876015561
"Suburb: Large","Yes","No","Yes",1679,57,1000,333,9,174,78,413,2,10,268,82,417,4,16,199,73,410,8,13,320,"yes",5,2,48,304,0,0,48,304,768,37,0,0,768,37,26,12,1,1,1,1,1,1,1.53266331658291,0.595592614651578,0.198332340678976,0,0,0.427006951882919
"Suburb: Large","Yes","No","Yes",922,32,513,141,9,275,58,399,14,4,167,63,399,15,2,198,73,409,4,6,420,"yes",0,0,66,239,2,10,64,229,630,49,34,2,596,47,80,23,1,1,1,21,3,1,1.21212121212121,0.556399132321041,0.1529284164859,0,0,0.192371892647456
"Suburb: Large","No","No","Yes",2251,97,1303,268,9,492,67,404,9,5,490,52,397,18,10,465,65,405,10,8,1542,"yes",71,10,381,2723,6,92,375,2631,4682,288,183,5,4499,283,821,110,0,1,1,346,66,1,5.85806451612903,0.578853842736561,0.119058196357175,0,0,1.76781926168205
"Suburb: Large","Yes","No","No",1149,81,216,81,9,189,76,412,7,12,181,76,414,3,13,173,85,415,2,8,1200,"yes",2120,38,123,891,4,29,119,862,313,55,25,2,288,53,163,72,1,1,1,163,72,1,5.15606936416185,0.18798955613577,0.0704960835509138,0,0,1.64017453808223
"City: Small","No","No","No",1944,112,397,81,9,209,51,395,13,1,207,60,397,15,2,178,69,406,5,3,240,"yes",0,0,80,253,3,11,77,242,503,64,14,2,489,62,56,21,0,1,1,9,6,1,1.42696629213483,0.204218106995885,0.0416666666666667,1,0,0.355550716726451
"Suburb: Large","No","No","No",1501,87,298,50,9,144,76,408,3,1,179,75,409,5,7,228,51,398,11,2,20,"yes",0,0,26,29,1,1,25,28,6,1,0,0,6,1,22,16,0,1,1,0,0,0,0.131578947368421,0.198534310459694,0.033311125916056,0,0,-2.02814824729229
"City: Large","Yes","No","No",692,36,140,4,9,50,66,402,6,0,73,66,407,11,16,74,77,414,4,16,0,"no",1,1,21,138,2,6,19,132,357,14,27,1,330,13,22,4,1,1,1,18,4,0,1.87837837837838,0.202312138728324,0.00578034682080925,0,0,0.630408839926522
"City: Small","No","No","Yes",2484,112,1462,225,9,443,48,393,21,3,428,46,392,25,2,332,43,391,21,1,0,"no",0,0,85,646,5,6,80,640,1502,66,1,1,1501,65,406,34,1,1,1,293,31,0,1.94879518072289,0.588566827697262,0.0905797101449275,1,0,0.667211325584412
"Suburb: Large","No","Yes","Yes",1797,105,1345,121,9,407,26,379,37,0,381,45,393,20,3,314,38,389,25,1,200,"yes",10,3,119,1178,10,109,109,1069,4365,102,758,2,3607,100,53,12,1,1,1,6,2,1,3.75477707006369,0.748469671675014,0.0673344462993879,1,0,1.32302891462912
"Suburb: Large","No","Yes","Yes",1926,123,1476,79,9,402,19,376,37,0,434,57,398,15,2,412,55,398,13,1,0,"no",0,0,42,228,7,13,35,215,666,32,4,2,662,30,48,6,1,1,1,8,3,0,0.555825242718447,0.766355140186916,0.0410176531671859,1,0,-0.587301345795287
"Suburb: Large","Yes","No","Yes",143,2,122,9,9,15,40,385,27,0,27,22,382,26,0,42,55,397,14,2,0,"no",0,0,29,111,2,22,27,89,82,12,3,2,79,10,120,17,1,1,1,75,13,0,2.66666666666667,0.853146853146853,0.0629370629370629,0,0,0.980829253011726
"Suburb: Large","No","Yes","Yes",2954,134,1989,333,9,497,50,394,22,3,564,52,397,21,8,508,47,394,22,4,340,"yes",0,0,79,382,3,5,76,377,1067,51,2,1,1065,50,416,35,1,1,1,311,31,1,0.753937007874016,0.673324306025728,0.112728503723764,1,0,-0.282446458397836
"City: Large","No","Yes","Yes",927,71,808,11,9,210,41,390,25,1,188,56,402,13,10,137,53,398,15,1,0,"no",0,0,29,84,3,4,26,80,186,21,1,1,185,20,22,7,1,1,1,11,5,0,0.62043795620438,0.871628910463862,0.011866235167206,1,0,-0.477329669337808
"City: Large","No","Yes","Yes",1349,75,1205,30,9,296,38,388,27,2,379,43,390,27,2,329,59,397,18,2,180,"yes",2,1,262,1330,8,61,254,1269,1883,203,98,4,1785,199,221,50,1,1,1,101,30,1,4.04559270516717,0.893254262416605,0.022238695329874,1,0,1.39762806762974
"City: Small","No","Yes","Yes",2501,110,1254,230,9,489,47,392,24,1,429,46,393,22,3,435,49,395,18,2,2008,"yes",7,2,61,460,4,53,57,407,976,41,139,1,837,40,239,21,1,1,1,200,14,1,1.05977011494253,0.50139944022391,0.0919632147141144,1,0,0.0580520119079644
"Suburb: Large","No","Yes","Yes",1511,67,930,227,9,158,61,400,8,1,254,71,407,6,8,196,68,406,8,5,280,"yes",10,2,158,698,7,32,151,666,2327,131,71,5,2256,126,74,27,1,1,1,18,4,1,3.56632653061224,0.615486432825943,0.150231634679021,0,0,1.27153608300329
"Suburb: Large","No","Yes","Yes",1637,104,1172,112,9,330,43,392,19,4,422,52,397,19,7,326,49,398,15,8,0,"no",12,1,43,199,10,81,33,118,338,27,120,5,218,22,14,4,1,1,1,0,0,0,0.613496932515337,0.715943799633476,0.0684178375076359,1,0,-0.488580014818671
"City: Large","No","Yes","Yes",1638,105,1339,63,9,279,24,381,30,0,344,45,393,20,1,286,51,396,17,2,20,"yes",647,44,285,2021,6,89,279,1932,3747,204,126,5,3621,199,1037,138,1,1,1,560,112,1,7.06993006993007,0.817460317460317,0.0384615384615385,1,0,1.95585058876056
"Suburb: Large","No","Yes","No",2797,127,747,106,9,388,60,400,15,5,407,62,403,13,7,328,57,400,15,5,867,"yes",3,1,300,2181,12,107,288,2074,5472,221,167,8,5305,213,1008,119,1,1,1,523,68,1,6.65243902439024,0.267071862710046,0.0378977475867,1,0,1.89498355800887
"City: Large","No","Yes","Yes",2803,131,2320,180,9,555,42,390,26,3,623,44,390,26,3,545,50,395,20,2,220,"yes",3,1,155,831,10,22,145,809,4247,117,11,5,4236,112,104,13,1,1,1,52,8,1,1.52660550458716,0.827684623617553,0.064216910453086,1,0,0.423046646157965
"Suburb: Large","No","Yes","Yes",2188,127,1583,166,9,432,33,384,31,2,416,41,390,26,5,433,43,391,24,3,0,"no",0,0,50,152,5,13,45,139,370,34,18,2,352,32,38,8,1,1,1,7,4,0,0.353348729792148,0.723491773308958,0.0758683729433272,1,0,-1.04029980661005
"Suburb: Large","No","Yes","Yes",1880,83,1315,179,9,406,49,395,21,6,374,73,409,13,13,300,59,400,13,5,40,"yes",0,0,69,217,2,5,67,212,655,45,0,0,655,45,33,14,1,1,1,11,2,1,0.726666666666667,0.699468085106383,0.0952127659574468,1,0,-0.319287411867112
