"Locale.","Charter","Magnet.","Title.I.School.","Students.","Teachers.","Free.Lunch.","Reduced.Lunch.","grade","numOfStud2012","passing2012","meanScale2012","lev1Perc2012","lev5Perc2012","numOfStud2013","passing2013","meanScale2013","lev1Perc2013","lev5Perc2013","numOfStud2014","passing2014","meanScale2014","lev1Perc2014","lev5Perc2014","Workbooks.Ordered","Workbooks","Total.Wall.Posts","Unique.wall.posts","unique.log.ins","total.log.ins","teacher.unique.log.ins","teacher.total.log.ins","student.unique.log.ins","student.total.log.ins","total.views","unique.viewers","teacher.total.views","teacher.unique.viewers","student.total.views","student.unique.viewers","Total.Test.Yourself","Unique.Users.who.took.test.yourself","training","integrated","integrated.or.training","test.yourselfs.during.challene","users.with.test.yourself.during.challenge","is.AN","loginsPerExaminee","perc.free.lunch","perc.reduced.lunch","SeniorHigh","middleHigh","logLoginsPerExaminee"
"City: Small","No","Yes","No",3055,167,678,156,9,395,74,411,8,12,535,81,414,5,10,545,85,418,3,15,2,"yes",5,3,126,397,6,35,120,362,588,68,81,5,507,63,140,58,0,0,0,117,55,1,0.730275229357798,0.221931260229133,0.051063829787234,0,0,-0.314333789378806
"City: Small","No","Yes","Yes",979,60,572,84,9,131,66,403,6,4,154,50,394,18,4,185,54,399,11,5,380,"yes",0,0,230,995,5,76,225,919,1191,145,125,5,1066,140,669,137,1,1,1,0,0,1,5.38378378378378,0.584269662921348,0.0858018386108274,0,0,1.68339143250627
"City: Large","No","Yes","Yes",947,80,843,23,9,188,25,376,39,0,187,42,391,18,2,164,49,394,18,1,441,"yes",0,0,32,180,4,43,28,137,305,23,67,2,238,21,53,2,1,1,1,5,2,1,1.10365853658537,0.890179514255544,0.0242872228088701,1,0,0.0986306034416274
"Suburb: Large","No","Yes","Yes",1888,86,1362,147,9,394,28,381,34,1,285,32,385,29,0,203,37,387,27,0,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.00492610837438424,0.721398305084746,0.0778601694915254,0,0,-5.31320597904179
"Suburb: Large","No","Yes","Yes",1585,95,958,82,9,283,34,387,27,0,240,60,401,8,2,235,63,401,8,2,200,"yes",0,0,80,413,3,14,77,399,483,44,31,1,452,44,61,14,0,0,0,28,2,1,1.76170212765957,0.604416403785489,0.0517350157728707,0,0,0.566280459681155
"Suburb: Large","No","No","No",1908,90,474,173,9,391,64,404,9,6,302,61,400,10,2,399,57,401,13,5,4,"yes",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050125313283208,0.248427672955975,0.0906708595387841,0,0,-5.29581423632992
"Town: Distant","No","No","Yes",799,43,345,62,9,63,68,401,8,2,147,33,387,26,1,135,31,388,20,1,340,"yes",0,0,27,142,2,14,25,128,193,19,32,1,161,18,43,15,0,1,1,3,1,1,1.05925925925926,0.431789737171464,0.0775969962453066,0,0,0.0575698518214779
"Suburb: Large","No","No","Yes",1957,107,845,218,9,162,22,382,28,1,267,42,390,23,0,244,29,385,27,0,400,"yes",7,4,107,324,4,59,103,265,476,85,148,4,328,81,123,74,0,1,1,1,1,1,1.33196721311475,0.43178334184977,0.111394992335207,0,0,0.286656957036536
"Rural: Remote","No","No","Yes",696,39,342,56,9,54,56,398,13,0,71,41,387,31,0,87,61,402,6,2,202,"yes",13,3,16,36,3,7,13,29,24,5,3,1,21,4,3,2,0,1,1,0,0,0,0.425287356321839,0.491379310344828,0.0804597701149425,0,0,-0.854990206010359
"Rural: Distant","No","No","Yes",549,36,336,81,9,44,57,399,11,0,53,66,403,6,0,69,61,402,4,3,180,"yes",44,15,88,851,3,41,85,810,487,50,21,2,466,48,570,45,0,0,0,266,34,1,12.3478260869565,0.612021857923497,0.147540983606557,0,1,2.51348002223206
"Suburb: Large","No","No","No",308,15,50,24,9,16,100,422,0,25,23,78,416,9,17,18,67,406,6,0,0,"no",1,1,14,56,1,1,13,55,47,6,0,0,47,6,14,3,0,1,1,12,2,0,3.16666666666667,0.162337662337662,0.0779220779220779,0,0,1.15267950993839
"City: Midsize","No","Yes","Yes",1571,76,743,202,9,268,60,401,10,2,314,60,402,12,5,240,58,399,13,2,480,"yes",0,0,173,1346,4,67,169,1279,2995,140,284,4,2711,137,862,64,0,1,1,196,20,1,5.6125,0.472947167409293,0.128580521960535,0,0,1.72499625306837
"Rural: Remote","No","No","Yes",235,15,167,22,9,11,55,398,0,0,16,69,401,6,0,12,50,397,17,0,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.71063829787234,0.0936170212765957,0,0,-2.484906649788
"Suburb: Large","No","No","Yes",2021,111,1170,159,9,261,37,388,24,0,362,43,391,22,1,338,45,391,24,2,445,"yes",2,2,111,462,6,64,105,398,978,77,225,6,753,71,137,36,1,1,1,82,29,1,1.3698224852071,0.5789213260762,0.078673923800099,0,0,0.314681158603215
"Rural: Fringe","No","No","Yes",1199,74,583,128,9,226,42,394,15,1,221,38,387,29,2,216,62,402,13,2,520,"yes",0,0,45,132,0,0,45,132,167,17,0,0,167,17,69,24,0,0,0,49,5,1,0.615740740740741,0.486238532110092,0.10675562969141,0,0,-0.484929279462411
"Rural: Fringe","No","No","Yes",545,44,262,61,9,40,30,385,25,0,32,56,399,13,3,16,75,405,6,0,155,"yes",4,1,2,26,0,0,2,26,104,2,0,0,104,2,0,0,1,0,1,0,0,0,1.6875,0.480733944954128,0.111926605504587,0,0,0.523248143764548
"City: Large","No","No","Yes",1809,106,1064,135,9,168,17,370,51,1,235,17,377,38,0,286,26,381,31,0,560,"yes",2,2,43,293,6,144,37,149,1816,33,947,6,869,27,3,3,0,1,1,1,1,1,1.02797202797203,0.588170259812051,0.0746268656716418,0,0,0.027587956518829
"Suburb: Large","No","No","Yes",3099,130,1021,394,9,653,58,402,10,5,556,62,402,14,7,539,60,401,13,6,180,"yes",28,9,152,698,5,20,147,678,686,81,22,3,664,78,841,63,0,1,1,460,49,1,1.29684601113173,0.32946111648919,0.127137786382704,0,0,0.259935171324813
"City: Small","No","No","Yes",1925,87,788,196,9,331,66,403,7,2,385,56,398,16,2,336,50,396,18,2,80,"yes",0,0,24,93,2,3,22,90,84,13,0,0,84,13,2,1,0,1,1,0,0,0,0.279761904761905,0.409350649350649,0.101818181818182,0,0,-1.2738163776932
"Suburb: Large","Yes","No","Yes",835,58,633,39,9,29,14,381,31,0,23,9,363,61,0,23,22,384,26,4,60,"yes",0,0,3,119,0,0,3,119,209,3,0,0,209,4,0,0,0,0,0,0,0,1,5.21739130434783,0.758083832335329,0.0467065868263473,0,0,1.6519975268529
