Charter,Magnet.,Title.I.School.,locationRural,locationSize,Students.,SeniorHigh,numOfStud2014,meanScale2012,lev1Perc2012,lev5Perc2012,perc.free.lunch,perc.reduced.lunch,logLoginsPerExaminee,meanScale2014
0,1,1,1,2,684,0,-1.2965465433750816,0.8747568184181798,-1.1898034796485282,-0.6906772675373404,-0.038874570320888174,2.8076361865635797,-3.46573590279973,408.0
0,1,0,1,2,1533,0,0.8226438051612524,1.231914307277915,-1.105729038184405,1.4396044251079505,0.16992628063787413,0.44699620248045624,0.783993653333517,389.0
1,0,0,0,0,98,0,-1.5062190866931642,0.6068887017733783,-0.1809101820790507,2.2384600598499347,-0.9336895000846446,-0.118950420161807,-3.58351893845611,405.0
0,0,1,1,2,519,0,-1.5811021378781935,0.4283099573435107,-1.5261012455050205,-0.6906772675373404,0.3018060272682247,2.6521449690327055,-0.424883193965266,386.0
0,1,1,0,1,2053,0,0.7852022795687377,0.5175993295584445,-0.6853568308637894,-0.42439205595667906,1.2612545204188015,-0.09730787315912712,0.835955583783269,388.0
0,0,0,0,0,2320,0,-0.397949929154728,-0.732451881450629,0.9120575569545498,-0.15810684437601769,-1.012416029710323,-0.6935040709786051,0.999672340813206,389.0
0,0,1,1,2,414,0,-1.3714295945601112,2.660544262716856,-1.3579523625767744,6.499023445140517,0.1109023901301211,0.705750031591166,0.354821375289409,417.0
0,1,0,0,0,1487,0,0.2685092263920343,-1.2681881147402319,1.1642808813469192,-0.6906772675373404,0.47597503776736677,-0.21173691330566638,3.22428242823344,383.0
0,1,0,0,2,3055,0,2.3053282186248363,1.4997824239227164,-0.8535057137920357,2.504745271430596,-1.2199652161559942,-0.7856814353388385,-0.314333789378806,418.0
0,1,1,0,2,979,0,-0.3904616240362251,0.7854674462032459,-1.021654596720282,0.37446357878530506,0.7160319915609487,0.3516228475286594,1.68339143250627,399.0
0,1,1,0,0,947,1,-0.547716031524787,-1.6253456035999672,1.752801971595781,-0.6906772675373404,2.350527848460726,-1.6623335759897382,0.0986306034416274,394.0
0,1,1,0,0,1888,0,-0.255672131903172,-1.1788987425252981,1.3324297642751655,-0.42439205595667906,1.4487190773178082,0.09161674446254801,-5.31320597904179,387.0
0,1,1,0,0,1585,0,-0.016046368111077715,-0.6431625092356952,0.7439086740263036,-0.6906772675373404,0.8236773136349257,-0.7637071563886064,0.566280459681155,401.0
0,0,0,0,0,1908,0,1.2120356713234055,0.8747568184181798,-0.7694312723279125,0.9070340019466278,-1.0783931921239307,0.5110320520935344,-5.29581423632992,401.0
0,0,1,0,2,799,0,-0.7648768799613724,0.6068887017733783,-0.8535057137920357,-0.15810684437601769,-0.09867798201979168,0.08300058970305298,0.0575698518214779,388.0
0,0,1,0,0,1957,0,0.05134837795544881,-1.0896093703103642,0.8279831154904267,-0.42439205595667906,-0.09871215263171146,1.1895293461606167,0.286656957036536,385.0
0,0,1,1,2,696,0,-1.1243155256495139,0.33902058512857686,-0.43313350647142007,-0.6906772675373404,0.21971291007307073,0.17672631242227704,-0.854990206010359,402.0
0,0,1,1,2,549,0,-1.259105017782567,0.4283099573435107,-0.6012823893996663,-0.6906772675373404,0.8643137404260156,2.372930239693614,2.51348002223206,402.0
0,0,0,0,0,308,0,-1.6410085788262172,2.4819655182869886,-1.5261012455050205,5.966453021979194,-1.5383776125745343,0.09364359417551009,1.15267950993839,406.0
0,1,1,0,1,1571,0,0.02139515748143702,0.6068887017733783,-0.6853568308637894,-0.15810684437601769,0.12122879414637082,1.7521746188210656,1.72499625306837,399.0
0,0,1,1,2,235,0,-1.685938409537235,0.33902058512857686,-1.5261012455050205,-0.6906772675373404,1.391227672146695,0.607487850105704,-2.484906649788,397.0
0,0,1,0,0,2021,0,0.7552490590947258,-0.5538731370207614,0.49168534963393423,-0.6906772675373404,0.68745548650048,0.11825863591471607,0.314681158603215,391.0
0,0,1,1,2,1199,0,-0.15832416536263372,-0.018136903731158432,-0.2649846235431738,-0.42439205595667906,0.19224540391310388,1.0376390339852628,-0.484929279462411,402.0
0,0,1,1,2,545,0,-1.6559851890632231,-0.8217412536655628,0.5757597910980573,-0.6906772675373404,0.1628340434710445,1.2069340839345906,0.523248143764548,405.0
0,0,1,0,0,1809,0,0.3658571929325726,-2.1610818368895703,2.7616952691652585,-0.42439205595667906,0.736873129659261,-0.014239935488202045,0.027587956518829,381.0
0,0,1,0,0,3099,0,2.2603983879138183,0.6961780739883121,-0.6853568308637894,0.6407487903659664,-0.6454263322869579,1.704940208810839,0.259935171324813,401.0
0,0,1,0,2,1925,0,0.7402724488577199,0.7854674462032459,-0.9375801552561588,-0.15810684437601769,-0.21857146016628146,0.8759895669368416,-1.2738163776932,396.0
1,0,1,0,0,835,0,-1.6035670532337025,-1.1788987425252981,1.080206439882796,-0.6906772675373404,1.6447321904547079,-0.9283352963035181,1.6519975268529,384.0
